Time, Sample
2022-09-17T13:49:44.019542Z, 5800
2022-09-17T13:49:44.044542Z, 7414
2022-09-17T13:49:44.069542Z, 6349
2022-09-17T13:49:44.094542Z, 3562
2022-09-17T13:49:44.119542Z, 7716
2022-09-17T13:49:44.144542Z, 7906
2022-09-17T13:49:44.169542Z, 4108
2022-09-17T13:49:44.194542Z, 6046
2022-09-17T13:49:44.219542Z, 6944
2022-09-17T13:49:44.244542Z, 6603
2022-09-17T13:49:44.269542Z, 6785
2022-09-17T13:49:44.294542Z, 4472
2022-09-17T13:49:44.319542Z, 5510
2022-09-17T13:49:44.344542Z, 6842
2022-09-17T13:49:44.369542Z, 4789
2022-09-17T13:49:44.394542Z, 5760
2022-09-17T13:49:44.419542Z, 6286
2022-09-17T13:49:44.444542Z, 5389
2022-09-17T13:49:44.469542Z, 5226
2022-09-17T13:49:44.494542Z, 6047
2022-09-17T13:49:44.519542Z, 7550
2022-09-17T13:49:44.544542Z, 5619
2022-09-17T13:49:44.569542Z, 6052
2022-09-17T13:49:44.594542Z, 7249
2022-09-17T13:49:44.619542Z, 5365
2022-09-17T13:49:44.644542Z, 7144
2022-09-17T13:49:44.669542Z, 7153
2022-09-17T13:49:44.694542Z, 6827
2022-09-17T13:49:44.719542Z, 8423
2022-09-17T13:49:44.744542Z, 5604
2022-09-17T13:49:44.769542Z, 6829
2022-09-17T13:49:44.794542Z, 8344
2022-09-17T13:49:44.819542Z, 6371
2022-09-17T13:49:44.844542Z, 8624
2022-09-17T13:49:44.869542Z, 7318
2022-09-17T13:49:44.894542Z, 5934
2022-09-17T13:49:44.919542Z, 7889
2022-09-17T13:49:44.944542Z, 6452
2022-09-17T13:49:44.969542Z, 7227
2022-09-17T13:49:44.994542Z, 7559
2022-09-17T13:49:45.019542Z, 5294
2022-09-17T13:49:45.044542Z, 6398
2022-09-17T13:49:45.069542Z, 6446
2022-09-17T13:49:45.094542Z, 5295
2022-09-17T13:49:45.119542Z, 5797
2022-09-17T13:49:45.144542Z, 5698
2022-09-17T13:49:45.169542Z, 6813
2022-09-17T13:49:45.194542Z, 6328
2022-09-17T13:49:45.219542Z, 4767
2022-09-17T13:49:45.244542Z, 6479
2022-09-17T13:49:45.269542Z, 6700
2022-09-17T13:49:45.294542Z, 6867
2022-09-17T13:49:45.319542Z, 6368
2022-09-17T13:49:45.344542Z, 5251
2022-09-17T13:49:45.369542Z, 7306
2022-09-17T13:49:45.394542Z, 5725
2022-09-17T13:49:45.419542Z, 5407
2022-09-17T13:49:45.444542Z, 6810
2022-09-17T13:49:45.469542Z, 5013
2022-09-17T13:49:45.494542Z, 6033
2022-09-17T13:49:45.519542Z, 5504
2022-09-17T13:49:45.544542Z, 5468
2022-09-17T13:49:45.569542Z, 7066
2022-09-17T13:49:45.594542Z, 5301
2022-09-17T13:49:45.619542Z, 5485
2022-09-17T13:49:45.644542Z, 5477
2022-09-17T13:49:45.669542Z, 5741
2022-09-17T13:49:45.694542Z, 7229
2022-09-17T13:49:45.719542Z, 4711
2022-09-17T13:49:45.744542Z, 4773
2022-09-17T13:49:45.769542Z, 6404
2022-09-17T13:49:45.794542Z, 5683
2022-09-17T13:49:45.819542Z, 5956
2022-09-17T13:49:45.844542Z, 4820
2022-09-17T13:49:45.869542Z, 5544
2022-09-17T13:49:45.894542Z, 6595
2022-09-17T13:49:45.919542Z, 5857
2022-09-17T13:49:45.944542Z, 6992
2022-09-17T13:49:45.969542Z, 5996
2022-09-17T13:49:45.994542Z, 5927
2022-09-17T13:49:46.019542Z, 7772
2022-09-17T13:49:46.044542Z, 6332
2022-09-17T13:49:46.069542Z, 6014
2022-09-17T13:49:46.094542Z, 6254
2022-09-17T13:49:46.119542Z, 6103
2022-09-17T13:49:46.144542Z, 8569
2022-09-17T13:49:46.169542Z, 6149
2022-09-17T13:49:46.194542Z, 3175
2022-09-17T13:49:46.219542Z, 6026
2022-09-17T13:49:46.244542Z, 5981
